c,rb,pl
https://data.naa.gov.au/def/agift/Blood-and-organ-donation-management,https://data.naa.gov.au/def/agift/Public-health-services,Blood and organ donation management
https://data.naa.gov.au/def/agift/Border-protection,https://data.naa.gov.au/def/agift/National-security,Border protection
https://data.naa.gov.au/def/agift/Botany,https://data.naa.gov.au/def/agift/Biological-sciences,Botany
https://data.naa.gov.au/def/agift/Broadcasting,https://data.naa.gov.au/def/agift/COMMUNICATIONS,Broadcasting
https://data.naa.gov.au/def/agift/Broadcasting-standards,https://data.naa.gov.au/def/agift/Broadcasting,Broadcasting standards
https://data.naa.gov.au/def/agift/Building-acoustics,https://data.naa.gov.au/def/agift/Built-environment,Building acoustics
https://data.naa.gov.au/def/agift/Building-approval-services,https://data.naa.gov.au/def/agift/Civic-management,Building approval services
https://data.naa.gov.au/def/agift/Building-preservation,https://data.naa.gov.au/def/agift/Built-environment,Building preservation
https://data.naa.gov.au/def/agift/Building-regulations-and-standards,https://data.naa.gov.au/def/agift/Civic-management,Building regulations and standards
https://data.naa.gov.au/def/agift/Built-environment,https://data.naa.gov.au/def/agift/ENVIRONMENT,Built environment
https://data.naa.gov.au/def/agift/Burial-ground-management,https://data.naa.gov.au/def/agift/Public-land-management,Burial ground management
https://data.naa.gov.au/def/agift/Business-association,https://data.naa.gov.au/def/agift/BUSINESS-SUPPORT-AND-REGULATION,Business association
https://data.naa.gov.au/def/agift/Business-process-auditing_2,https://data.naa.gov.au/def/agift/BUSINESS-SUPPORT-AND-REGULATION,Business process auditing
https://data.naa.gov.au/def/agift/Business-registration-and-licensing,https://data.naa.gov.au/def/agift/BUSINESS-SUPPORT-AND-REGULATION,Business registration and licensing
https://data.naa.gov.au/def/agift/Business-sponsorship,https://data.naa.gov.au/def/agift/BUSINESS-SUPPORT-AND-REGULATION,Business sponsorship
https://data.naa.gov.au/def/agift/CIVIC-INFRASTRUCTURE,,CIVIC INFRASTRUCTURE
https://data.naa.gov.au/def/agift/COMMUNICATIONS,,COMMUNICATIONS
https://data.naa.gov.au/def/agift/COMMUNITY-SERVICES,,COMMUNITY SERVICES
https://data.naa.gov.au/def/agift/CULTURAL-AFFAIRS_2,,CULTURAL AFFAIRS
https://data.naa.gov.au/def/agift/Cadets,https://data.naa.gov.au/def/agift/Australian-Defence-Forces,Cadets
https://data.naa.gov.au/def/agift/Call-centre-administration,https://data.naa.gov.au/def/agift/COMMUNICATIONS,Call centre administration
https://data.naa.gov.au/def/agift/Capital-equipment-programs,https://data.naa.gov.au/def/agift/Defence-strategic-support,Capital equipment programs
https://data.naa.gov.au/def/agift/Caravan-and-camping-services,https://data.naa.gov.au/def/agift/SPORT-AND-RECREATION,Caravan and camping services
https://data.naa.gov.au/def/agift/Cargo-control,https://data.naa.gov.au/def/agift/MARITIME-SERVICES,Cargo control
https://data.naa.gov.au/def/agift/Carriage-service-providers,https://data.naa.gov.au/def/agift/Telecommunications,Carriage service providers
https://data.naa.gov.au/def/agift/Carrier-licensing,https://data.naa.gov.au/def/agift/Telecommunications,Carrier licensing
https://data.naa.gov.au/def/agift/Censorship-standards,https://data.naa.gov.au/def/agift/Administrative-law,Censorship standards
https://data.naa.gov.au/def/agift/Ceremonial-events-and-representation,https://data.naa.gov.au/def/agift/Official-protocol,Ceremonial events and representation
https://data.naa.gov.au/def/agift/Certified-employment-conditions,https://data.naa.gov.au/def/agift/Workplace-agreement-processes,Certified employment conditions
https://data.naa.gov.au/def/agift/Charting-sea-lanes,https://data.naa.gov.au/def/agift/Navigation,Charting sea lanes
https://data.naa.gov.au/def/agift/Chemical-and-pesticide-regulation,https://data.naa.gov.au/def/agift/PRIMARY-INDUSTRIES_2,Chemical and pesticide regulation
https://data.naa.gov.au/def/agift/Child-and-youth-support,https://data.naa.gov.au/def/agift/Community-support,Child and youth support
https://data.naa.gov.au/def/agift/Child-care-services,https://data.naa.gov.au/def/agift/Community-support,Child-care services
https://data.naa.gov.au/def/agift/Citizenship,https://data.naa.gov.au/def/agift/IMMIGRATION,Citizenship
https://data.naa.gov.au/def/agift/Civic-celebrations,https://data.naa.gov.au/def/agift/GOVERNANCE,Civic celebrations
https://data.naa.gov.au/def/agift/Civic-management,https://data.naa.gov.au/def/agift/CIVIC-INFRASTRUCTURE,Civic management
https://data.naa.gov.au/def/agift/Civil-community-assistance,https://data.naa.gov.au/def/agift/Emergency-management,Civil community assistance
https://data.naa.gov.au/def/agift/Civil-law,https://data.naa.gov.au/def/agift/JUSTICE-ADMINISTRATION,Civil law
https://data.naa.gov.au/def/agift/Civil-registration,https://data.naa.gov.au/def/agift/Civil-law,Civil registration
https://data.naa.gov.au/def/agift/Climate-information-services,https://data.naa.gov.au/def/agift/ENVIRONMENT,Climate information services
https://data.naa.gov.au/def/agift/Clinical-health-services,https://data.naa.gov.au/def/agift/Community-health-services,Clinical health services
https://data.naa.gov.au/def/agift/Collection-access--,https://data.naa.gov.au/def/agift/CULTURAL-AFFAIRS_2,Collection access
https://data.naa.gov.au/def/agift/Collection-accessioning--,https://data.naa.gov.au/def/agift/Collection-management--,Collection accessioning
https://data.naa.gov.au/def/agift/Collection-acquisition--,https://data.naa.gov.au/def/agift/Collection-management--,Collection acquisition
https://data.naa.gov.au/def/agift/Collection-management--,https://data.naa.gov.au/def/agift/CULTURAL-AFFAIRS_2,Collection management
https://data.naa.gov.au/def/agift/Collection-promotion--,https://data.naa.gov.au/def/agift/CULTURAL-AFFAIRS_2,Collection promotion
https://data.naa.gov.au/def/agift/Collection-storage--,https://data.naa.gov.au/def/agift/Collection-management--,Collection storage
https://data.naa.gov.au/def/agift/Commissions-of-inquiry,https://data.naa.gov.au/def/agift/JUSTICE-ADMINISTRATION,Commissions of inquiry
https://data.naa.gov.au/def/agift/Commonwealth-State-funding,https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,Commonwealth State funding
https://data.naa.gov.au/def/agift/Communications-infrastructure,https://data.naa.gov.au/def/agift/Telecommunications,Communications infrastructure
https://data.naa.gov.au/def/agift/Community-based-corrections,https://data.naa.gov.au/def/agift/Corrective-services,Community based corrections
https://data.naa.gov.au/def/agift/Community-education,https://data.naa.gov.au/def/agift/EDUCATION-AND-TRAINING,Community education
https://data.naa.gov.au/def/agift/Community-engagement,https://data.naa.gov.au/def/agift/COMMUNITY-SERVICES,Community engagement
https://data.naa.gov.au/def/agift/Community-health-services,https://data.naa.gov.au/def/agift/HEALTH-CARE,Community health services
https://data.naa.gov.au/def/agift/Community-housing,https://data.naa.gov.au/def/agift/Public-housing,Community housing
https://data.naa.gov.au/def/agift/Community-policing,https://data.naa.gov.au/def/agift/Law-enforcement,Community policing
https://data.naa.gov.au/def/agift/Community-recreational-programs,https://data.naa.gov.au/def/agift/SPORT-AND-RECREATION,Community recreational programs
https://data.naa.gov.au/def/agift/Community-support,https://data.naa.gov.au/def/agift/COMMUNITY-SERVICES,Community support
https://data.naa.gov.au/def/agift/Conservation-programs,https://data.naa.gov.au/def/agift/ENVIRONMENT,Conservation programs
https://data.naa.gov.au/def/agift/Constitutional-conventions,https://data.naa.gov.au/def/agift/Constitutional-matters,Constitutional conventions
