http://test.linked.data.gov.au/def/crs-th/arts-and-crafts,http://test.linked.data.gov.au/def/crs-th/arts,Arts And Crafts
http://test.linked.data.gov.au/def/crs-th/arts-development,,Arts Development
http://test.linked.data.gov.au/def/crs-th/arts-subsidies,http://test.linked.data.gov.au/def/crs-th/arts-development,Arts Subsidies
http://test.linked.data.gov.au/def/crs-th/ashmore-and-cartier-islands,http://test.linked.data.gov.au/def/crs-th/territory-administration,Ashmore And Cartier Islands
http://test.linked.data.gov.au/def/crs-th/assisted-migration,http://test.linked.data.gov.au/def/crs-th/migration,Assisted Migration
http://test.linked.data.gov.au/def/crs-th/astronomy,http://test.linked.data.gov.au/def/crs-th/space-science,Astronomy
http://test.linked.data.gov.au/def/crs-th/attache,http://test.linked.data.gov.au/def/crs-th/government-representation-overseas,Attache
http://test.linked.data.gov.au/def/crs-th/audit,,Audit
http://test.linked.data.gov.au/def/crs-th/australia-card,http://test.linked.data.gov.au/def/crs-th/citizenship,Australia Card
http://test.linked.data.gov.au/def/crs-th/australian-antarctic-territory,http://test.linked.data.gov.au/def/crs-th/territory-administration,Australian Antarctic Territory
http://test.linked.data.gov.au/def/crs-th/australian-capital-territory,,Australian Capital Territory
http://test.linked.data.gov.au/def/crs-th/aviation,http://test.linked.data.gov.au/def/crs-th/defence-industries,Aviation
http://test.linked.data.gov.au/def/crs-th/awards,http://test.linked.data.gov.au/def/crs-th/ceremonial-functions,Awards
http://test.linked.data.gov.au/def/crs-th/ballet,http://test.linked.data.gov.au/def/crs-th/arts-development,Ballet
http://test.linked.data.gov.au/def/crs-th/bank-notes,http://test.linked.data.gov.au/def/crs-th/currency,Bank Notes
http://test.linked.data.gov.au/def/crs-th/banking,,Banking
http://test.linked.data.gov.au/def/crs-th/bankruptcy,,Bankruptcy
http://test.linked.data.gov.au/def/crs-th/banks,http://test.linked.data.gov.au/def/crs-th/banking,Banks
http://test.linked.data.gov.au/def/crs-th/battalion,http://test.linked.data.gov.au/def/crs-th/army-commands,Battalion
http://test.linked.data.gov.au/def/crs-th/battery,http://test.linked.data.gov.au/def/crs-th/army-commands,Battery
http://test.linked.data.gov.au/def/crs-th/benefits,http://test.linked.data.gov.au/def/crs-th/pensions-and-benefits,Benefits
http://test.linked.data.gov.au/def/crs-th/benefits-for-students,http://test.linked.data.gov.au/def/crs-th/student-assistance,Benefits For Students
http://test.linked.data.gov.au/def/crs-th/births,http://test.linked.data.gov.au/def/crs-th/citizenship,Births
http://test.linked.data.gov.au/def/crs-th/bonds,http://test.linked.data.gov.au/def/crs-th/currency,Bonds
http://test.linked.data.gov.au/def/crs-th/botany,,Botany
http://test.linked.data.gov.au/def/crs-th/bounties,,Bounties
http://test.linked.data.gov.au/def/crs-th/bridges,http://test.linked.data.gov.au/def/crs-th/civil-engineering,Bridges
http://test.linked.data.gov.au/def/crs-th/brigade,http://test.linked.data.gov.au/def/crs-th/army-commands,Brigade
http://test.linked.data.gov.au/def/crs-th/british-new-guinea,http://test.linked.data.gov.au/def/crs-th/territory-administration,British New Guinea
http://test.linked.data.gov.au/def/crs-th/broadcasting,,Broadcasting
http://test.linked.data.gov.au/def/crs-th/building,,Building
http://test.linked.data.gov.au/def/crs-th/cabinet,,Cabinet
http://test.linked.data.gov.au/def/crs-th/cabinet-secretariat,http://test.linked.data.gov.au/def/crs-th/cabinet,Cabinet Secretariat
http://test.linked.data.gov.au/def/crs-th/cable-services,http://test.linked.data.gov.au/def/crs-th/telecommunications,Cable Services
http://test.linked.data.gov.au/def/crs-th/cable-television,http://test.linked.data.gov.au/def/crs-th/television-broadcasting,Cable Television
